Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
γεγόναμεν	γίνομαι	perfect	actv	indicative	1p	pl	Ro 6:5,Heb 3:14
γέγοναν	γίνομαι	perfect	actv	indicative	3p	pl	Ro 16:7,Re 21:6
γεγόνει	γίνομαι	pluperfect	actv	indicative	3p	sg	Ac 4:22
γινόμεναι	γίνομαι	pres	either middle or passive	participle	—	pl	Mk 6:2
γένηται	γίνομαι	aor	mid	subjunctive	3p	sg	Ro 7:3,Mt 5:18,Mt 10:25,Mt 18:13,Mt 21:19,Mt 23:15,Mt 23:26,Mt 24:20,Mt 24:21,Mt 24:32,Mt 24:34,Mt 26:5,Mk 9:50,Mk 13:18,Mk 13:19,Mk 13:28,Mk 13:30,Lk 1:20,Lk 4:3,Lk 14:12,Lk 20:14,Lk 21:32,Lk 23:31,Jn 5:14,Jn 9:22,Jn 13:19,Jn 14:29,Ac 20:16,Ro 3:19,Ro 7:13,Ro 15:16,Ro 15:31,1 Co 3:18,1 Co 8:9,1 Co 9:15,1 Co 16:10,2 Co 8:14,2 Co 8:14,Ga 3:14,Eph 6:3,Col 1:18,1 Th 3:5,2 Th 2:7,Phm 6,Heb 2:17
γινομένοις	γίνομαι	pres	either middle or passive	participle	—	pl	Lk 13:17
γεγενῆσθαι	γίνομαι	perfect	pass	infinitive	—	—	Ro 15:8
γενόμενος	γίνομαι	aor	mid	participle	—	sg	Ac 12:11,Mk 6:26,Mk 9:33,Lk 10:32,Lk 22:40,Lk 22:44,Ac 1:18,Ac 4:11,Ac 7:32,Ac 7:38,Ac 10:4,Ac 12:23,Ac 16:27,Ac 16:29,Ac 24:25,Ga 3:13,Php 2:7,Php 2:8,Php 3:6,2 Ti 1:17,Heb 1:4,Heb 6:20,Heb 7:26,Heb 11:24,Jas 1:12,Jas 1:25
γέγονεν	γίνομαι	perfect	actv	indicative	3p	sg	Mt 1:22,Mt 19:8,Mt 21:4,Mt 24:21,Mt 25:6,Mt 26:56,Mk 5:33,Mk 9:21,Mk 13:19,Mk 14:4,Lk 14:22,Jn 1:3,Jn 1:15,Jn 1:30,Jn 12:30,Jn 14:22,Ac 4:16,Ro 2:25,Ro 11:5,Ro 11:25,2 Co 1:19,2 Co 5:17,Ga 3:24,1 Th 2:1,1 Ti 2:14,Heb 7:16,Heb 7:22,Jas 2:10,Jas 5:2,2 Pe 2:20,Re 16:17
γεγονὼς	γίνομαι	perfect	actv	participle	—	sg	Ga 3:17
Γίνεσθε	γίνομαι	pres	either middle or passive	imperative	2p	pl	Lk 6:36,Ga 4:12,Eph 5:1,Jas 1:22
Ἐγένετο	γίνομαι	aor	mid	indicative	3p	sg	Lk 1:5,Lk 1:8,Lk 2:1,Lk 2:6,Lk 3:21,Lk 5:1,Lk 6:1,Lk 6:6,Lk 6:12,Lk 8:22,Lk 9:28,Lk 9:37,Lk 9:51,Lk 11:27,Lk 18:35,Lk 22:24,Jn 1:6,Jn 3:25,Jn 10:22,Ac 4:5,Ac 5:7,Ac 8:1,Ac 9:19,Ac 9:32,Ac 9:43,Ac 14:1,Ac 16:16,Ac 19:1,Ac 19:23,Ac 22:6,Ac 22:17,Ac 28:17
ἐγενήθησάν	γίνομαι	aor	pass	indicative	3p	pl	Col 4:11
