Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
ἀκουσθήσεται	ἀκούω	futr	pass	indicative	3p	sg	Lk 12:3
ἀκούσασιν	ἀκούω	aor	actv	participle	—	pl	Heb 4:2
Ἀκούοντες	ἀκούω	pres	actv	participle	—	pl	Ac 7:54
Ἤκουσεν	ἀκούω	aor	actv	indicative	3p	sg	Lk 9:7,Jn 9:35
ἀκούοντι	ἀκούω	pres	actv	participle	—	sg	Re 22:18
ἀκουσθῇ	ἀκούω	aor	pass	subjunctive	3p	sg	Mt 28:14,Re 18:22,Re 18:22,Re 18:23
ἀκούσονται	ἀκούω	futr	mid	indicative	3p	pl	Ac 21:22,Ac 28:28
ἤκουσας	ἀκούω	aor	actv	indicative	2p	sg	Ac 22:15,2 Ti 1:13,2 Ti 2:2,Re 3:3
Ἤκουον	ἀκούω	impft	actv	indicative	3p	pl	Lk 16:14,Ac 22:22
ἀκουσόμεθά	ἀκούω	futr	mid	indicative	1p	pl	Ac 17:32
ἤκουσεν	ἀκούω	aor	actv	indicative	3p	sg	Mt 14:1,Mk 6:14,Lk 1:41,Lk 15:25,Jn 3:32,Jn 11:6,Jn 11:20,Jn 11:29,Jn 19:8,Ac 8:30,Ac 9:4,Ac 14:9,Ac 24:24,1 Co 2:9,2 Co 12:4
ἠκούσατέ	ἀκούω	aor	actv	indicative	2p	pl	Ac 1:4
ἀκουσάτωσαν	ἀκούω	aor	actv	imperative	3p	pl	Lk 16:29
ἀκούσει	ἀκούω	futr	actv	indicative	3p	sg	Mt 12:19,Jn 16:13
ἀκούσῃ	ἀκούω	aor	actv	subjunctive	3p	sg	Mt 10:14,Mt 18:15,Mt 18:16,Jn 7:51,Jn 12:47,Ac 3:23,Re 3:20
ἀκούοντα	ἀκούω	pres	actv	participle	—	sg	Lk 2:46
ἀκούων	ἀκούω	pres	actv	participle	—	sg	Mt 7:26,Mt 13:20,Mt 13:22,Mt 13:23,Lk 6:47,Lk 10:16,Lk 19:48,Jn 3:29,Jn 5:24,Ac 5:5,Phm 5,Re 22:8,Re 22:17
