Result	Lemma	Tense	Voice	Mood	Person	Number	Reference
ἔχει	ἔχω	pres	actv	indicative	3p	sg	Mt 5:23,Mt 21:3,Mk 11:3,Lk 17:9,Lk 19:31,Lk 19:34,Jn 13:10,1 Co 12:24,Col 4:13,Heb 7:27,Re 21:23,Mt 8:20,Mt 9:6,Mt 11:18,Mt 13:12,Mt 13:12,Mt 13:12,Mt 13:21,Mt 13:27,Mt 13:44,Mt 18:25,Mt 25:29,Mk 2:10,Mk 3:22,Mk 3:26,Mk 3:29,Mk 3:30,Mk 4:9,Mk 4:23,Mk 4:25,Mk 4:25,Mk 4:25,Mk 5:23,Lk 5:24,Lk 7:33,Lk 9:58,Lk 14:28,Lk 19:25,Lk 19:26,Lk 20:24,Lk 22:37,Lk 24:39,Jn 3:36,Jn 4:44,Jn 5:6,Jn 5:24,Jn 5:26,Jn 6:9,Jn 6:47,Jn 6:54,Jn 9:21,Jn 9:23,Jn 10:20,Jn 12:48,Jn 14:30,Jn 15:13,Jn 16:15,Jn 16:21,Jn 19:11,Ac 7:1,Ac 9:14,Ac 14:9,Ac 15:21,Ac 23:17,Ro 4:2,Ro 8:9,Ro 9:21,Ro 12:4,1 Co 7:7,1 Co 7:12,1 Co 7:13,1 Co 7:37,1 Co 12:12,1 Co 12:23,1 Co 14:26,1 Co 14:26,1 Co 14:26,1 Co 14:26,1 Co 14:26,2 Co 8:12,Eph 5:5,1 Ti 5:4,1 Ti 5:16,Heb 3:3,Heb 7:24,Heb 10:35,1 Jn 2:23,1 Jn 2:23,1 Jn 3:15,1 Jn 4:16,1 Jn 4:18,1 Jn 5:10,1 Jn 5:12,1 Jn 5:12,2 Jn 9,2 Jn 9,Re 9:11,Re 12:6,Re 12:12,Re 13:9,Re 13:14,Re 19:16,Re 20:6
ἔχοντας	ἔχω	pres	actv	participle	—	pl	Mt 4:24,Mt 8:16,Mt 14:35,Mk 1:32,Mk 1:34,Mk 6:55,Lk 9:11,Ac 11:3,Ac 19:13,1 Co 11:22,1 Ti 3:9,Heb 7:28,Re 9:17,Re 15:1,Re 15:2,Re 16:2
ἐχούσης	ἔχω	pres	actv	participle	—	sg	Ga 4:27,Heb 9:8
ἔχοντος	ἔχω	pres	actv	participle	—	sg	Mt 18:25,Mt 25:29,Lk 19:26,Re 16:9,Re 17:7
ἔχοι	ἔχω	pres	actv	optative	3p	sg	Ac 17:11,Ac 25:16
ἐχόμενα	ἔχω	pres	middle, passive	participle	—	pl	Heb 6:9
εἴχομεν	ἔχω	impft	actv	indicative	1p	pl	Heb 12:9,2 Jn 5
εἶχέν	ἔχω	impft	actv	indicative	3p	sg	Lk 13:6
ἔχῃ	ἔχω	pres	actv	subjunctive	3p	sg	Lk 8:18,Lk 8:18,Jn 3:15,Jn 3:16,Jn 6:40,2 Co 8:12,Eph 4:28,Col 3:13,Jas 2:14,Jas 2:17,1 Jn 3:17
ἔχουσαν	ἔχω	pres	actv	participle	—	sg	Mk 11:13,Ac 16:16,Ac 23:25,Eph 5:27,Heb 11:10,Re 21:11
εἶχες	ἔχω	impft	actv	indicative	2p	sg	Jn 19:11
ἔχειν	ἔχω	pres	actv	infinitive	—	—	Ro 1:28,1 Th 1:8,Mt 13:5,Mt 13:6,Mt 14:4,Mk 3:15,Mk 4:5,Mk 4:6,Mk 6:18,Lk 8:6,Lk 8:18,Lk 9:3,Jn 5:26,Jn 5:39,Ac 12:15,Ac 24:9,Ac 24:16,Ac 24:23,1 Co 5:1,1 Co 7:40,1 Co 11:10,2 Co 8:11,Php 1:7,1 Ti 3:7,Heb 8:3,Heb 10:2,Heb 10:34,Heb 11:25,Jas 2:14,2 Pe 1:15
ἐχούσῃ	ἔχω	pres	actv	participle	—	sg	1 Th 5:3
εἴχετε	ἔχω	impft	actv	indicative	2p	pl	Jn 9:41,Ro 6:21,1 Jn 2:7
ἔχετε	ἔχω	pres	actv	imperative	2p	pl	Mk 11:22,Mk 9:50,Php 2:29,Jas 2:1
Ἔχοντες	ἔχω	pres	actv	participle	—	pl	2 Co 3:12,2 Co 4:13,Heb 4:14,Heb 10:19
ἔχοντα	ἔχω	pres	actv	participle	—	sg	1 Jn 3:17,Mk 9:17,Mk 9:43,Mk 9:45,Mk 9:47,Lk 12:5,Lk 24:39,Jn 11:17,Ac 23:29,Ac 27:39,Ro 2:20,1 Co 8:10,1 Ti 3:4,Heb 2:14,Heb 7:6,Re 7:2,Re 14:6,Re 18:1,Re 20:1
ἔχομεν	ἔχω	pres	actv	indicative	1p	pl	Mt 26:65,Mk 14:63,Lk 22:71,Jn 13:29,Mt 3:9,Mt 14:17,Lk 3:8,Jn 8:41,Jn 19:7,Jn 19:15,Ro 5:1,Ro 12:4,1 Co 2:16,1 Co 8:1,1 Co 9:4,1 Co 9:5,1 Co 9:6,1 Co 11:16,2 Co 3:4,2 Co 5:1,Ga 2:4,Ga 6:10,Eph 1:7,Eph 2:18,Eph 3:12,Col 1:14,2 Th 3:9,Heb 4:15,Heb 6:19,Heb 8:1,Heb 13:10,Heb 13:14,Heb 13:18,2 Pe 1:19,1 Jn 1:6,1 Jn 1:7,1 Jn 1:8,1 Jn 2:1,1 Jn 3:21,1 Jn 4:21,1 Jn 5:14,1 Jn 5:15
ἐσχήκαμεν	ἔχω	perfect	actv	indicative	1p	pl	Ro 5:2,2 Co 1:9
ἔχωσιν	ἔχω	pres	actv	subjunctive	3p	pl	1 Ti 5:20,Jn 8:6,Jn 10:10,Jn 10:10,Jn 17:13
ἐχομένῃ	ἔχω	pres	middle, passive	participle	—	sg	Lk 13:33,Ac 20:15,Ac 21:26
ἔχον	ἔχω	pres	actv	participle	—	sg	Ac 1:12,Lk 11:36,Ac 24:25,Re 13:1
ἔχεις	ἔχω	pres	actv	indicative	2p	sg	Jn 4:18,Jn 16:30,Mt 25:25,Mk 10:21,Lk 12:19,Lk 18:22,Jn 4:11,Jn 4:11,Jn 6:68,Jn 7:20,Jn 8:48,Jn 8:52,Jn 8:57,Jn 13:8,Ac 23:19,Ro 14:22,1 Co 4:7,Phm 5,Phm 17,Jas 2:18,Re 2:3,Re 2:6,Re 2:14,Re 2:15,Re 3:1,Re 3:4,Re 3:8,Re 3:11
Εἶχεν	ἔχω	impft	actv	indicative	3p	sg	Heb 9:1
ἔχοιεν	ἔχω	pres	actv	optative	3p	pl	Ac 24:19
ἔχουσιν	ἔχω	pres	actv	indicative	3p	pl	Mt 9:12,Mt 14:16,Mk 2:17,Lk 5:31,Lk 15:7,Re 22:5,Mt 8:20,Mt 15:32,Mt 21:26,Mk 2:19,Mk 4:17,Mk 8:2,Mk 8:16,Lk 8:13,Lk 9:58,Lk 14:14,Lk 16:29,Jn 2:3,Jn 15:22,Ac 15:36,Ac 19:38,Ro 10:2,1 Co 12:30,1 Co 15:34,Heb 7:5,Heb 13:10,Re 2:24,Re 4:8,Re 9:3,Re 9:4,Re 9:10,Re 9:11,Re 11:6,Re 11:6,Re 14:11,Re 17:13
ἔχε	ἔχω	pres	actv	imperative	2p	sg	Lk 14:18,Lk 14:19,Ro 14:22,2 Ti 1:13
ἔχητε	ἔχω	pres	actv	subjunctive	2p	pl	Mt 17:20,Mt 21:21,1 Th 4:12,Jn 5:40,Jn 13:35,Jn 16:33,Jn 20:31,1 Co 4:15,1 Co 6:4,2 Co 5:12,1 Jn 1:3
ἔχων	ἔχω	pres	actv	participle	—	sg	Lk 7:2,1 Co 11:4,Mt 7:29,Mt 8:9,Mt 11:15,Mt 12:10,Mt 13:9,Mt 13:43,Mt 19:22,Mt 22:12,Mt 22:24,Mt 22:25,Mk 1:22,Mk 3:1,Mk 10:22,Lk 3:11,Lk 3:11,Lk 4:33,Lk 7:8,Lk 8:8,Lk 8:27,Lk 14:35,Lk 15:4,Lk 17:7,Lk 19:17,Lk 20:28,Lk 22:36,Lk 22:36,Jn 3:29,Jn 5:5,Jn 12:6,Jn 14:21,Jn 18:10,Ac 24:15,Ac 28:19,Ro 15:23,Ro 15:23,1 Co 6:1,1 Co 7:37,Php 1:23,Php 3:4,Php 3:9,1 Ti 1:19,1 Ti 6:16,2 Ti 2:19,Tt 1:6,Tt 2:8,Phm 8,Heb 7:3,Heb 10:1,1 Jn 3:3,1 Jn 5:12,1 Jn 5:12,2 Jn 12,Re 1:16,Re 2:7,Re 2:11,Re 2:12,Re 2:17,Re 2:18,Re 2:29,Re 3:1,Re 3:6,Re 3:7,Re 3:13,Re 3:22,Re 4:7,Re 4:8,Re 5:6,Re 6:2,Re 6:5,Re 8:3,Re 9:14,Re 10:2,Re 12:3,Re 12:12,Re 13:17,Re 13:18,Re 14:14,Re 14:17,Re 14:18,Re 17:3,Re 17:9,Re 19:12,Re 20:6,Re 21:14
ἔσχηκεν	ἔχω	perfect	actv	indicative	3p	sg	2 Co 7:5
ἕξει	ἔχω	futr	actv	indicative	3p	sg	Mt 1:23,Mt 12:11,Lk 11:5,Jn 8:12,Ga 6:4,2 Ti 2:17
ἔχετέ	ἔχω	pres	actv	indicative	2p	pl	Lk 24:41
ἔχοντά	ἔχω	pres	actv	participle	—	sg	Ac 23:18
εἶχον	ἔχω	impft	actv	indicative	3p	pl	Heb 11:15,Mt 14:5,Mt 21:46,Mt 27:16,Mk 3:10,Mk 8:7,Mk 8:14,Mk 11:32,Lk 4:40,Ac 2:44,Ac 4:14,Ac 13:5,Ac 25:19,Re 6:9,Re 9:8,Re 9:9
ἔχοντες	ἔχω	pres	actv	participle	—	pl	Mt 9:12,Mk 2:17,Lk 5:31,Heb 5:12,Mt 15:30,Mk 8:18,Mk 8:18,Mk 10:23,Lk 18:24,Ac 2:47,Ac 21:23,Ac 28:9,Ro 2:14,Ro 8:23,Ro 12:6,1 Co 7:29,1 Co 7:29,2 Co 4:1,2 Co 6:10,2 Co 7:1,2 Co 9:8,2 Co 10:6,2 Co 10:15,Eph 2:12,Php 1:30,Php 2:2,1 Th 4:13,1 Ti 6:2,1 Ti 6:8,2 Ti 3:5,Heb 12:1,1 Pe 2:12,1 Pe 2:16,1 Pe 3:16,1 Pe 4:8,2 Pe 2:14,2 Pe 2:14,Jud 19,Re 5:8,Re 8:6,Re 15:6,Re 18:19
ἔσχες	ἔχω	aor	actv	indicative	2p	sg	Jn 4:18
σχῶ	ἔχω	aor	actv	subjunctive	1p	sg	Mt 19:16,Ac 25:26,Ro 1:13,2 Co 2:3,Php 2:27
σχῆτε	ἔχω	aor	actv	subjunctive	2p	pl	2 Co 1:15
ἐχούσαις	ἔχω	pres	actv	participle	—	pl	Mt 24:19,Mk 13:17,Lk 21:23
ἔσχηκα	ἔχω	perfect	actv	indicative	1p	sg	2 Co 2:13
ἐχόντων	ἔχω	pres	actv	participle	—	pl	Mk 8:1,Lk 7:42,Lk 12:4,Ac 8:7,Heb 5:14,Re 12:17,Re 17:1,Re 19:10,Re 21:9
Ἔχομεν	ἔχω	pres	actv	indicative	1p	pl	2 Co 4:7
ἕξουσιν	ἔχω	futr	actv	indicative	3p	pl	Mk 16:18,1 Co 7:28
ἔχοντι	ἔχω	pres	actv	participle	—	sg	Eph 4:28,1 Pe 4:5,Mt 25:28,Mt 25:29,Mk 3:3,Lk 3:11,Lk 6:8,Lk 19:24,Lk 19:26,Re 14:18
ἔχω	ἔχω	pres	actv	indicative	1p	sg	Mt 3:14,Lk 14:18,Ac 21:13,1 Co 12:21,1 Co 12:21,2 Co 12:14,Re 2:14,Re 2:20,Re 3:17,Lk 7:40,Lk 11:6,Lk 12:17,Lk 12:50,Lk 16:28,Jn 4:17,Jn 4:17,Jn 4:32,Jn 5:7,Jn 5:36,Jn 8:26,Jn 8:49,Jn 10:16,Jn 10:18,Jn 10:18,Jn 16:12,Jn 19:10,Jn 19:10,Ac 3:6,Ac 25:26,Ro 15:17,1 Co 7:25,1 Co 9:17,1 Co 15:31,2 Co 2:4,Php 2:20,Col 2:1,1 Ti 1:12,2 Ti 1:3,2 Ti 1:3,Jas 2:18,3 Jn 4,Re 1:18,Re 2:4
ἐσχηκότα	ἔχω	perfect	actv	participle	—	sg	Mk 5:15
ἐχέτω	ἔχω	pres	actv	imperative	3p	sg	1 Co 7:2,1 Co 7:2,Jas 1:4
ἕξεις	ἔχω	futr	actv	indicative	2p	sg	Mt 19:21,Mk 10:21,Lk 18:22,Ro 13:3
