Reference	Result	Lemma	Part of Speech
Mt 10:5	Τούτους	οὗτος	pronoun
Mt 26:26,Mk 14:22,Mk 14:24,Lk 22:19,Jn 6:29,Jn 10:17,Ac 2:16,Ac 3:6,Ac 24:14,1 Co 11:24,Php 1:19,Php 1:22,1 Jn 4:3,Re 7:15	τοῦτό	οὗτος	pronoun
Jud 19	Οὗτοί	οὗτος	pronoun
2 Pe 2:12	Οὗτοι	οὗτος	pronoun
Mt 3:9,Mt 5:19,Mt 5:37,Mt 6:29,Mt 6:32,Mt 10:42,Mt 18:6,Mt 18:10,Mt 18:14,Mt 25:40,Mt 25:45,Mk 9:42,Mk 12:31,Lk 3:8,Lk 7:18,Lk 10:36,Lk 12:27,Lk 12:30,Lk 17:2,Lk 18:34,Lk 21:12,Lk 21:28,Lk 24:14,Lk 24:48,Jn 1:50,Jn 5:20,Jn 7:40,Jn 14:12,Jn 17:20,Jn 19:13,Jn 21:15,Jn 21:24,Ac 1:22,Ac 1:24,Ac 5:32,Ac 5:36,Ac 5:38,Ac 14:15,Ac 15:28,Ac 18:15,Ac 18:17,Ac 19:36,Ac 21:38,Ac 24:8,Ac 25:9,Ac 25:20,Ac 25:20,Ac 26:21,Ac 26:26,Ac 26:26,Ac 26:29,Ro 11:30,1 Co 9:15,1 Co 13:13,1 Th 4:6,2 Ti 2:21,2 Ti 3:6,Tt 3:8,Heb 1:2,Heb 10:18,Heb 13:11,2 Pe 1:4,2 Pe 1:12,2 Pe 1:15,2 Pe 3:16,3 Jn 4,Re 9:18,Re 18:15,Re 20:6	τούτων	οὗτος	pronoun
Mt 9:18,Lk 24:36,Jn 6:59,Jn 8:20,Jn 8:30,Jn 9:6,Jn 11:11,Jn 13:21,Jn 14:25,Jn 15:11,Jn 15:17,Jn 16:1,Jn 16:4,Jn 16:25,Jn 16:33,Jn 17:1,Jn 18:1,Jn 20:14,Ac 26:24,1 Co 4:6,1 Co 10:6,1 Ti 4:6,1 Ti 6:2,2 Ti 2:14,Tt 2:15,1 Jn 2:26,1 Jn 5:13	Ταῦτα	οὗτος	pronoun
Eph 3:1,Eph 3:14,Tt 1:5	Τούτου	οὗτος	pronoun
Mt 27:46,Mk 7:2,Ac 1:19,Ac 19:4,Ro 7:18,Ro 9:8,Ro 10:6,Ro 10:7,Ro 10:8,Phm 12,Heb 2:14,Heb 7:5,Heb 9:11,Heb 10:20,Heb 11:16,Heb 13:15,1 Pe 3:20	τοῦτʼ	οὗτος	pronoun
Heb 7:1	Οὗτος	οὗτος	pronoun
Mt 7:24,Mt 7:26,Mt 7:28,Mt 19:1,Mt 26:1,Mk 8:4,Lk 9:28,Lk 9:44,Lk 19:15,Lk 19:27,Lk 20:16,Jn 10:19,Jn 18:8,Ac 2:22,Ac 5:5,Ac 5:24,Ac 10:47,Ac 16:36,Ac 19:37,Ac 21:24,Ro 8:30,Ro 8:30,Ro 8:30,1 Co 6:4,1 Co 16:3,2 Ti 3:5,Heb 2:15	τούτους	οὗτος	pronoun
Mt 1:20,Mt 6:32,Mt 6:33,Mt 10:2,Mt 11:25,Mt 13:34,Mt 13:51,Mt 13:56,Mt 19:20,Mt 21:23,Mt 21:24,Mt 21:27,Mt 23:23,Mt 23:36,Mt 24:2,Mt 24:3,Mt 24:8,Mt 24:33,Mt 24:34,Mk 2:8,Mk 6:2,Mk 7:23,Mk 8:7,Mk 10:20,Mk 11:28,Mk 11:28,Mk 11:29,Mk 11:33,Mk 13:4,Mk 13:4,Mk 13:8,Mk 13:29,Mk 13:30,Mk 16:8,Mk 16:12,Mk 16:17,Lk 1:19,Lk 1:20,Lk 1:65,Lk 2:19,Lk 4:28,Lk 5:27,Lk 7:9,Lk 8:8,Lk 9:34,Lk 10:1,Lk 10:21,Lk 11:27,Lk 11:42,Lk 11:45,Lk 12:4,Lk 12:30,Lk 12:31,Lk 13:2,Lk 13:17,Lk 14:6,Lk 14:15,Lk 14:21,Lk 15:26,Lk 16:14,Lk 17:8,Lk 18:4,Lk 18:11,Lk 18:21,Lk 18:23,Lk 19:11,Lk 19:28,Lk 20:2,Lk 20:8,Lk 21:6,Lk 21:7,Lk 21:7,Lk 21:9,Lk 21:31,Lk 21:36,Lk 23:31,Lk 23:49,Lk 24:9,Lk 24:10,Lk 24:11,Lk 24:21,Lk 24:26,Jn 1:28,Jn 2:16,Jn 2:18,Jn 3:2,Jn 3:9,Jn 3:10,Jn 3:22,Jn 5:1,Jn 5:14,Jn 5:16,Jn 5:19,Jn 5:34,Jn 6:1,Jn 6:9,Jn 7:1,Jn 7:4,Jn 7:9,Jn 7:32,Jn 8:26,Jn 8:28,Jn 9:22,Jn 9:40,Jn 10:21,Jn 10:25,Jn 11:43,Jn 12:16,Jn 12:16,Jn 12:16,Jn 12:36,Jn 12:41,Jn 13:7,Jn 13:17,Jn 15:21,Jn 16:3,Jn 16:4,Jn 16:6,Jn 17:13,Jn 18:22,Jn 19:24,Jn 19:36,Jn 19:38,Jn 20:18,Jn 20:31,Jn 21:1,Jn 21:24,Ac 1:9,Ac 5:11,Ac 7:1,Ac 7:7,Ac 7:50,Ac 7:54,Ac 10:44,Ac 11:18,Ac 12:17,Ac 13:20,Ac 13:42,Ac 14:15,Ac 14:18,Ac 15:16,Ac 15:17,Ac 16:38,Ac 17:8,Ac 17:11,Ac 17:20,Ac 18:1,Ac 19:21,Ac 19:40,Ac 20:36,Ac 21:12,Ac 23:22,Ac 24:9,Ac 27:35,Ro 8:31,Ro 9:8,1 Co 4:14,1 Co 6:13,1 Co 9:8,1 Co 9:8,1 Co 9:15,1 Co 10:11,1 Co 12:11,1 Co 13:13,2 Co 2:16,2 Co 13:10,Ga 2:18,Ga 5:17,Ga 5:17,Eph 5:6,Php 3:7,Php 4:8,Php 4:9,2 Th 2:5,1 Ti 4:11,1 Ti 4:15,1 Ti 5:7,1 Ti 5:21,1 Ti 6:11,2 Ti 1:12,2 Ti 2:2,Heb 4:8,Heb 7:13,Heb 11:12,Jas 3:10,1 Pe 1:11,2 Pe 1:8,2 Pe 1:9,2 Pe 1:10,2 Pe 3:14,1 Jn 1:4,1 Jn 2:1,Re 1:19,Re 4:1,Re 4:1,Re 7:9,Re 9:12,Re 15:5,Re 16:5,Re 18:1,Re 19:1,Re 20:3,Re 21:7,Re 22:8,Re 22:8,Re 22:16,Re 22:20	ταῦτα	οὗτος	pronoun
Mt 4:9,Mt 15:20,1 Co 6:11,Tt 3:8	ταῦτά	οὗτος	pronoun
1 Ti 3:14	Ταῦτά	οὗτος	pronoun
Mt 10:23,Mt 12:45,Mt 16:18,Mt 26:31,Mt 26:34,Mk 8:12,Mk 8:38,Mk 14:30,Lk 11:30,Lk 12:20,Lk 13:7,Lk 13:32,Lk 16:24,Lk 17:6,Lk 17:34,Lk 19:42,Ac 4:27,Ac 16:12,Ac 18:10,Ac 22:3,Ac 27:23,1 Co 7:20,1 Co 9:12,1 Co 15:19,2 Co 1:15,2 Co 8:7,2 Co 8:19,2 Co 8:20,2 Co 9:4,2 Co 11:17,Heb 3:10,Heb 11:2	ταύτῃ	οὗτος	pronoun
2 Co 7:1	Ταύτας	οὗτος	pronoun
Mt 9:26,Mt 13:54,Mt 21:42,Mt 22:20,Mt 22:38,Mt 24:34,Mt 26:8,Mt 26:12,Mt 26:13,Mk 8:12,Mk 12:11,Mk 12:16,Mk 12:31,Mk 12:43,Mk 12:44,Mk 13:30,Mk 14:4,Mk 14:9,Lk 2:2,Lk 2:36,Lk 4:21,Lk 7:44,Lk 7:45,Lk 7:46,Lk 8:9,Lk 8:11,Lk 11:29,Lk 21:3,Lk 21:4,Lk 21:32,Lk 22:53,Jn 1:19,Jn 3:19,Jn 3:29,Jn 8:4,Jn 11:4,Jn 12:30,Jn 17:3,Ac 5:38,Ac 8:26,Ac 8:32,Ac 9:36,Ac 16:17,Ac 17:19,Ac 21:11,Ro 7:10,Ro 11:27,1 Co 7:12,1 Co 8:9,1 Co 9:3,2 Co 1:12,2 Co 2:6,2 Co 11:10,Eph 3:8,Tt 1:13,Heb 8:10,Heb 10:16,Jas 1:27,Jas 3:15,1 Jn 1:5,1 Jn 2:25,1 Jn 3:11,1 Jn 3:23,1 Jn 5:3,1 Jn 5:4,1 Jn 5:9,1 Jn 5:11,1 Jn 5:11,1 Jn 5:14,2 Jn 6,2 Jn 6	αὕτη	οὗτος	pronoun
