Result	Lemma	Gender	Case	Number	Part of Speech	Reference
τις	τις	mas	nom	sg	pronoun	Mt 11:27,Mt 12:19,Mt 12:29,Mt 12:47,Mt 16:24,Mt 21:3,Mt 22:24,Mt 22:46,Mt 24:4,Mt 24:23,Mk 4:23,Mk 8:4,Mk 8:34,Mk 9:30,Mk 9:35,Mk 11:3,Mk 11:16,Mk 13:5,Mk 13:21,Mk 14:47,Mk 15:36,Lk 7:36,Lk 8:46,Lk 8:49,Lk 9:23,Lk 9:57,Lk 11:1,Lk 11:45,Lk 12:13,Lk 13:6,Lk 13:23,Lk 14:15,Lk 14:26,Lk 16:30,Lk 16:31,Lk 19:31,Lk 22:50,Lk 22:59,Jn 2:25,Jn 3:3,Jn 3:5,Jn 4:33,Jn 6:46,Jn 6:50,Jn 6:51,Jn 7:17,Jn 7:37,Jn 7:48,Jn 8:51,Jn 8:52,Jn 9:22,Jn 9:31,Jn 9:32,Jn 10:9,Jn 10:28,Jn 11:1,Jn 11:9,Jn 11:10,Jn 11:57,Jn 12:26,Jn 12:26,Jn 14:23,Jn 15:6,Jn 15:13,Ac 2:45,Ac 4:34,Ac 4:35,Ac 5:25,Ac 5:34,Ac 8:31,Ac 10:47,Ac 11:29,Ac 13:41,Ac 19:24,Ac 21:10,Ac 27:42,Ac 28:21,Ro 5:7,Ro 5:7,Ro 8:9,1 Co 1:15,1 Co 3:4,1 Co 3:12,1 Co 3:17,1 Co 3:18,1 Co 4:2,1 Co 5:11,1 Co 6:1,1 Co 7:18,1 Co 7:18,1 Co 7:36,1 Co 8:2,1 Co 8:3,1 Co 8:10,1 Co 10:27,1 Co 10:28,1 Co 11:16,1 Co 11:34,1 Co 14:27,1 Co 14:37,1 Co 14:38,1 Co 15:35,1 Co 16:11,1 Co 16:22,2 Co 2:5,2 Co 5:17,2 Co 8:20,2 Co 10:7,2 Co 11:20,2 Co 11:20,2 Co 11:20,2 Co 11:20,2 Co 11:20,2 Co 11:21,2 Co 12:6,Ga 1:9,Ga 6:3,Eph 2:9,Eph 4:29,Php 3:4,Php 4:8,Col 2:8,Col 2:16,Col 3:13,1 Th 5:15,2 Th 2:3,2 Th 3:10,2 Th 3:14,1 Ti 1:8,1 Ti 3:1,1 Ti 3:5,1 Ti 5:8,1 Ti 6:3,2 Ti 2:5,2 Ti 2:21,Tt 1:12,Heb 2:6,Heb 3:13,Heb 4:1,Heb 4:11,Heb 5:4,Heb 10:28,Heb 12:15,Heb 12:16,Jas 1:5,Jas 1:23,Jas 1:26,Jas 2:14,Jas 2:16,Jas 2:18,Jas 3:2,Jas 5:13,Jas 5:13,Jas 5:14,Jas 5:19,Jas 5:19,1 Pe 2:19,1 Pe 4:11,1 Pe 4:11,1 Pe 4:15,2 Pe 2:19,1 Jn 2:1,1 Jn 2:15,1 Jn 2:27,1 Jn 4:20,1 Jn 5:16,2 Jn 10,Re 3:20,Re 11:5,Re 11:5,Re 13:9,Re 13:10,Re 13:10,Re 13:17,Re 14:9,Re 14:11,Re 20:15,Re 22:18,Re 22:19
τινὰς	τις	mas	acc	pl	adjective, pronoun	Ac 17:5
τινα	τις	neu	nom	pl	pronoun	2 Pe 3:16
τινὰ	τις	fem	acc	sg	adjective, pronoun	Lk 23:19,Ac 16:16,Ac 27:27,Ro 15:26,Heb 4:7
τινες	τις	mas	nom	pl	adjective, pronoun	Lk 13:31,Jn 12:20,Jud 4
τινες	τις	fem	nom	pl	adjective, pronoun	Lk 8:2,Lk 24:22
τινές	τις	mas	nom	pl	pronoun	Jn 9:16,Ga 1:7
τινα	τις	mas	acc	sg	adjective, pronoun	Mk 15:21,Lk 23:26,Ac 9:33,Ac 10:5,Ac 18:2,Ac 25:16,Ac 27:39,1 Co 1:16
τίς	τις	mas	nom	sg	pronoun	Jn 12:47,Jn 16:30,Ac 13:15,Ro 8:24,2 Co 11:16,Tt 1:6
τι	τις	neu	acc	sg	adjective, pronoun	Lk 11:36,Lk 23:8,Jn 21:5,Ac 5:2,Ac 8:36,Ac 10:11,Ac 11:5,Ac 27:16,Ac 28:3,Ro 1:11,1 Co 11:18,2 Co 10:8
τινας	τις	mas	acc	pl	pronoun	Mk 12:13,Ac 9:2,Ac 12:1,Ga 2:12,2 Th 3:11,2 Pe 3:9
