Reference	Result	Lemma	Part of Speech	Adverb/particle Type
Mt 3:7,Mt 6:27,Mt 10:11,Mt 12:11,Mt 12:48,Mt 18:1,Mt 19:25,Mt 21:10,Mt 21:23,Mt 21:31,Mt 23:17,Mt 26:68,Mk 1:24,Mk 2:7,Mk 3:33,Mk 4:41,Mk 5:30,Mk 5:31,Mk 6:2,Mk 9:34,Mk 10:26,Mk 11:28,Mk 15:24,Mk 16:3,Lk 3:7,Lk 4:34,Lk 4:36,Lk 5:21,Lk 5:21,Lk 7:39,Lk 7:42,Lk 7:49,Lk 8:9,Lk 8:25,Lk 8:45,Lk 9:9,Lk 9:46,Lk 10:22,Lk 10:22,Lk 10:29,Lk 10:36,Lk 11:5,Lk 12:14,Lk 12:25,Lk 12:42,Lk 16:11,Lk 16:12,Lk 18:26,Lk 19:3,Lk 20:2,Lk 22:23,Lk 22:24,Lk 22:27,Lk 22:64,Jn 1:19,Jn 1:22,Jn 4:10,Jn 5:12,Jn 5:13,Jn 6:60,Jn 6:64,Jn 7:20,Jn 7:36,Jn 8:25,Jn 8:46,Jn 9:2,Jn 9:21,Jn 9:36,Jn 12:34,Jn 12:38,Jn 13:24,Jn 13:25,Jn 21:12,Jn 21:20,Ac 7:27,Ac 7:35,Ac 7:49,Ac 8:33,Ac 9:5,Ac 10:21,Ac 11:17,Ac 17:19,Ac 19:35,Ac 21:33,Ac 22:8,Ac 26:15,Ro 3:1,Ro 7:24,Ro 8:31,Ro 8:33,Ro 8:34,Ro 8:35,Ro 9:19,Ro 9:20,Ro 10:6,Ro 10:7,Ro 10:16,Ro 11:15,Ro 11:34,Ro 11:34,Ro 11:35,Ro 14:4,1 Co 2:11,1 Co 2:16,1 Co 4:7,1 Co 9:7,1 Co 9:7,1 Co 9:18,1 Co 14:8,2 Co 2:2,2 Co 2:16,2 Co 6:14,2 Co 6:14,2 Co 6:15,2 Co 6:15,2 Co 6:16,2 Co 11:29,2 Co 11:29,Ga 3:1,Ga 5:7,Eph 1:18,Eph 1:18,Eph 3:9,1 Th 2:19,Heb 7:11,Heb 12:7,Jas 4:12,1 Pe 3:13,Re 5:2,Re 6:17,Re 13:4,Re 13:4,Re 15:4,Re 18:18	τίς	τίς	pronoun	—
Mt 5:13,Mt 12:27,Mk 9:50,Lk 6:47,Lk 7:31,Lk 11:19,Lk 12:20,Lk 13:18,Lk 13:18,Lk 13:20,Lk 14:34,Jn 12:38,Ac 4:9	τίνι	τίς	pronoun	—
Heb 5:12	τινὰ	τίς	pronoun	—
Mt 12:48,Lk 24:17,Jn 6:64,Ac 19:15,Re 7:13	τίνες	τίς	pronoun	—
Jn 13:18	τίνας	τίς	pronoun	—
Mt 16:13,Mt 16:15,Mt 27:17,Mt 27:21,Mk 8:27,Mk 8:29,Lk 9:18,Lk 9:20,Lk 11:11,Lk 12:5,Jn 6:68,Jn 8:53,Jn 10:6,Jn 18:4,Jn 18:7,Jn 20:15,Ac 7:52,Heb 1:13,1 Pe 1:11	τίνα	τίς	pronoun	—
Mt 7:9,Lk 14:31,Lk 15:4,Lk 15:8	τίς	τίς	adjective, pronoun	—
Mt 7:3,Mt 18:12,Mt 21:28,Lk 6:41,Lk 6:46,Lk 12:57,Ro 3:1,Ro 3:9,Ro 4:1,Ro 6:1,Ro 6:15,Ro 7:7,Ro 8:31,Ro 9:14,Ro 9:30,Ro 11:7,1 Co 3:5,1 Co 10:19,1 Co 14:26,1 Co 15:30,Ga 3:19,Php 1:18,Jas 2:14	Τί	τίς	pronoun	—
Mt 11:16,Lk 7:31,Heb 1:5	Τίνι	τίς	pronoun	—
Mt 5:47,Mt 19:16,Mk 15:14,Jn 2:18,Jn 6:30	τί	τίς	adjective, pronoun	—
Mk 4:30,Ac 10:29	τίνι	τίς	adjective, pronoun	—
