Result	Lemma	Person	Gender	Case	Number	Part of Speech	Reference
ἐμοῦ	ἐγώ	1p	—	gen	sg	pronoun	Mt 5:11,Mt 7:23,Mt 10:18,Mt 10:39,Mt 11:29,Mt 12:30,Mt 12:30,Mt 12:30,Mt 15:5,Mt 15:8,Mt 16:23,Mt 16:25,Mt 17:27,Mt 25:41,Mt 26:23,Mt 26:38,Mt 26:39,Mt 26:40,Mk 7:6,Mk 7:11,Mk 8:35,Mk 10:29,Mk 13:9,Mk 14:18,Mk 14:20,Mk 14:36,Lk 4:7,Lk 5:8,Lk 8:46,Lk 9:24,Lk 10:16,Lk 11:7,Lk 11:23,Lk 11:23,Lk 11:23,Lk 12:13,Lk 13:27,Lk 15:31,Lk 16:3,Lk 22:21,Lk 22:28,Lk 22:37,Lk 22:42,Lk 23:43,Lk 24:44,Jn 4:9,Jn 5:7,Jn 5:32,Jn 5:32,Jn 5:36,Jn 5:37,Jn 5:39,Jn 5:46,Jn 8:18,Jn 8:29,Jn 10:8,Jn 10:9,Jn 10:18,Jn 10:25,Jn 13:8,Jn 13:38,Jn 14:6,Jn 15:5,Jn 15:26,Jn 15:27,Jn 16:32,Jn 17:24,Jn 18:34,Jn 19:11,Ac 8:24,Ac 11:5,Ac 20:34,Ac 22:18,Ac 23:11,Ac 25:9,Ro 1:12,Ro 11:27,Ro 15:18,Ro 15:30,Ro 16:2,Ro 16:7,Ro 16:13,2 Co 1:19,2 Co 2:2,2 Co 7:7,2 Co 12:6,2 Co 12:8,Ga 1:11,Ga 1:17,Ga 2:20,Eph 6:19,Php 4:10,2 Ti 1:13,2 Ti 2:2,2 Ti 4:11,2 Ti 4:17,Tt 3:15,Heb 10:7,Re 1:12,Re 3:4,Re 3:18,Re 3:20,Re 3:21,Re 4:1,Re 10:8,Re 17:1,Re 21:9,Re 21:15,Re 22:12
μού	ἐγώ	1p	—	gen	sg	pronoun	Mt 3:11,Lk 8:46,Jn 6:51,Jn 8:31,Jn 14:28,Jn 15:14,Ac 2:25,Ro 1:9,1 Co 9:18,1 Co 11:24
ἐμέ	ἐγώ	1p	—	acc	sg	pronoun	Mt 18:6,Mt 26:10,Mk 9:42,Lk 1:43,Lk 22:53,Lk 23:28,Jn 6:45,Jn 6:57,Jn 7:38,Jn 8:42,Jn 16:3,Jn 16:9,Jn 17:20,Ac 3:22,Ac 7:37,Ac 22:6,Ac 24:19,Ac 26:18,Ro 15:3,Eph 6:21,Php 2:27,Phm 17
ἐμὲ	ἐγώ	1p	—	acc	sg	pronoun	Mt 10:37,Mt 10:37,Mt 10:40,Mt 10:40,Mt 18:5,Mt 18:21,Mt 26:11,Mk 9:37,Mk 9:37,Mk 9:37,Mk 14:7,Lk 4:18,Lk 9:48,Lk 9:48,Lk 10:16,Lk 10:16,Lk 24:39,Jn 3:30,Jn 6:35,Jn 6:35,Jn 6:37,Jn 6:37,Jn 7:7,Jn 8:19,Jn 8:19,Jn 10:32,Jn 11:25,Jn 11:26,Jn 12:8,Jn 12:30,Jn 12:44,Jn 12:44,Jn 12:45,Jn 12:46,Jn 12:48,Jn 13:18,Jn 13:20,Jn 13:20,Jn 14:1,Jn 14:9,Jn 14:12,Jn 15:18,Jn 15:20,Jn 15:23,Jn 15:24,Jn 16:14,Jn 16:23,Jn 16:27,Jn 17:18,Jn 17:23,Jn 18:8,Ac 8:24,Ac 13:25,Ac 13:25,Ro 1:15,Ro 10:20,Ro 10:20,1 Co 9:3,1 Co 15:10,2 Co 2:5,2 Co 11:10,2 Co 12:6,2 Co 12:9,Php 1:12,Php 2:23,Col 4:7,2 Ti 1:8,Re 1:17
ἐμοὶ	ἐγώ	1p	—	dat	sg	pronoun	Mt 10:32,Mt 25:40,Mt 25:45,Mt 26:31,Mk 5:7,Lk 4:6,Lk 8:28,Lk 12:8,Lk 15:29,Jn 2:4,Jn 6:56,Jn 7:23,Jn 8:12,Jn 10:38,Jn 10:38,Jn 12:26,Jn 12:26,Jn 14:10,Jn 14:20,Jn 14:30,Jn 15:2,Jn 15:4,Jn 15:5,Jn 15:7,Jn 16:33,Jn 17:21,Jn 19:10,Ac 11:12,Ac 22:9,Ac 26:13,Ro 7:8,Ro 7:13,Ro 7:17,Ro 7:20,Ro 7:21,Ro 7:21,Ro 12:19,Ro 14:11,1 Co 4:3,1 Co 14:11,1 Co 16:4,2 Co 1:17,2 Co 9:4,2 Co 11:10,2 Co 13:3,Ga 1:2,Ga 1:24,Ga 2:6,Ga 2:8,Ga 2:9,Ga 2:20,Ga 6:14,Php 1:7,Php 1:26,Php 1:30,Php 2:16,Php 2:22,Php 3:1,Php 4:21,Col 1:29,1 Ti 1:16,2 Ti 4:8,Phm 11,Phm 18,Heb 10:30,Heb 13:6
ἡμῶν	ἐγώ	1p	—	gen	pl	pronoun	Mt 1:23,Mt 6:9,Mt 6:11,Mt 6:12,Mt 6:12,Mt 8:17,Mt 15:23,Mt 20:33,Mt 21:42,Mt 23:30,Mt 25:8,Mt 27:25,Mt 28:13,Mk 9:40,Mk 9:40,Mk 11:10,Mk 12:7,Mk 12:11,Mk 12:29,Lk 1:55,Lk 1:71,Lk 1:72,Lk 1:73,Lk 1:75,Lk 1:78,Lk 1:79,Lk 7:5,Lk 9:49,Lk 11:3,Lk 11:4,Lk 13:26,Lk 16:26,Lk 20:14,Lk 23:2,Lk 24:20,Lk 24:22,Lk 24:29,Lk 24:32,Jn 3:11,Jn 4:12,Jn 4:20,Jn 6:31,Jn 7:51,Jn 8:39,Jn 8:53,Jn 8:54,Jn 9:20,Jn 10:24,Jn 11:11,Jn 11:48,Jn 12:38,Ac 1:22,Ac 2:8,Ac 2:39,Ac 3:13,Ac 4:25,Ac 5:30,Ac 7:2,Ac 7:11,Ac 7:12,Ac 7:15,Ac 7:19,Ac 7:19,Ac 7:27,Ac 7:38,Ac 7:39,Ac 7:40,Ac 7:44,Ac 7:45,Ac 7:45,Ac 9:38,Ac 13:17,Ac 15:9,Ac 15:10,Ac 15:24,Ac 15:25,Ac 15:26,Ac 16:16,Ac 16:20,Ac 17:20,Ac 17:27,Ac 19:37,Ac 20:7,Ac 20:21,Ac 21:17,Ac 22:14,Ac 24:4,Ac 26:6,Ac 26:7,Ac 26:14,Ac 27:10,Ac 27:18,Ac 27:27,Ac 28:15,Ro 1:4,Ro 1:7,Ro 3:5,Ro 4:1,Ro 4:12,Ro 4:16,Ro 4:24,Ro 4:25,Ro 4:25,Ro 5:1,Ro 5:5,Ro 5:6,Ro 5:8,Ro 5:8,Ro 5:11,Ro 5:21,Ro 6:6,Ro 6:23,Ro 7:5,Ro 7:25,Ro 8:16,Ro 8:23,Ro 8:26,Ro 8:31,Ro 8:31,Ro 8:32,Ro 8:34,Ro 8:39,Ro 9:10,Ro 10:16,Ro 13:11,Ro 14:7,Ro 14:12,Ro 15:2,Ro 15:6,Ro 15:30,Ro 16:1,Ro 16:9,Ro 16:18,Ro 16:20,1 Co 1:2,1 Co 1:2,1 Co 1:3,1 Co 1:7,1 Co 1:8,1 Co 1:9,1 Co 1:10,1 Co 2:7,1 Co 4:8,1 Co 5:4,1 Co 5:4,1 Co 5:7,1 Co 6:11,1 Co 9:1,1 Co 10:1,1 Co 10:6,1 Co 10:11,1 Co 12:23,1 Co 12:24,1 Co 15:3,1 Co 15:14,1 Co 15:31,1 Co 15:57,2 Co 1:2,2 Co 1:3,2 Co 1:4,2 Co 1:5,2 Co 1:7,2 Co 1:8,2 Co 1:11,2 Co 1:11,2 Co 1:12,2 Co 1:12,2 Co 1:14,2 Co 1:14,2 Co 1:18,2 Co 1:19,2 Co 1:20,2 Co 1:22,2 Co 2:14,2 Co 3:2,2 Co 3:2,2 Co 3:3,2 Co 3:5,2 Co 4:3,2 Co 4:6,2 Co 4:7,2 Co 4:10,2 Co 4:11,2 Co 4:16,2 Co 4:16,2 Co 4:17,2 Co 4:18,2 Co 5:1,2 Co 5:2,2 Co 5:12,2 Co 5:20,2 Co 5:21,2 Co 6:11,2 Co 6:11,2 Co 7:3,2 Co 7:4,2 Co 7:5,2 Co 7:5,2 Co 7:9,2 Co 7:12,2 Co 7:13,2 Co 7:14,2 Co 8:4,2 Co 8:7,2 Co 8:9,2 Co 8:19,2 Co 8:19,2 Co 8:19,2 Co 8:20,2 Co 8:22,2 Co 8:23,2 Co 8:24,2 Co 9:3,2 Co 9:11,2 Co 10:4,2 Co 10:8,2 Co 10:15,Ga 1:3,Ga 1:4,Ga 1:4,Ga 2:4,Ga 3:13,Ga 3:24,Ga 4:6,Ga 4:26,Ga 6:14,Ga 6:18,Eph 1:2,Eph 1:3,Eph 1:14,Eph 1:17,Eph 2:3,Eph 2:14,Eph 3:11,Eph 4:7,Eph 5:2,Eph 5:20,Eph 6:22,Eph 6:24,Php 1:2,Php 3:20,Php 3:21,Php 4:20,Col 1:2,Col 1:3,Col 1:7,Col 2:14,Col 4:3,Col 4:8,1 Th 1:2,1 Th 1:3,1 Th 1:3,1 Th 1:5,1 Th 1:6,1 Th 1:9,1 Th 2:1,1 Th 2:2,1 Th 2:3,1 Th 2:4,1 Th 2:9,1 Th 2:13,1 Th 2:19,1 Th 2:19,1 Th 2:20,1 Th 3:2,1 Th 3:5,1 Th 3:6,1 Th 3:7,1 Th 3:9,1 Th 3:11,1 Th 3:11,1 Th 3:11,1 Th 3:13,1 Th 3:13,1 Th 4:1,1 Th 5:9,1 Th 5:10,1 Th 5:23,1 Th 5:25,1 Th 5:28,2 Th 1:1,2 Th 1:2,2 Th 1:7,2 Th 1:8,2 Th 1:10,2 Th 1:11,2 Th 1:12,2 Th 1:12,2 Th 2:1,2 Th 2:1,2 Th 2:2,2 Th 2:14,2 Th 2:14,2 Th 2:15,2 Th 2:16,2 Th 2:16,2 Th 3:1,2 Th 3:6,2 Th 3:6,2 Th 3:14,2 Th 3:18,1 Ti 1:1,1 Ti 1:1,1 Ti 1:2,1 Ti 1:12,1 Ti 1:14,1 Ti 2:3,1 Ti 6:3,1 Ti 6:14,2 Ti 1:2,2 Ti 1:8,2 Ti 1:9,2 Ti 1:10,Tt 1:3,Tt 1:4,Tt 2:8,Tt 2:10,Tt 2:13,Tt 2:14,Tt 3:4,Tt 3:6,Phm 1,Phm 2,Phm 3,Heb 3:1,Heb 4:15,Heb 6:20,Heb 7:14,Heb 9:14,Heb 9:24,Heb 10:26,Heb 11:40,Heb 11:40,Heb 12:9,Heb 12:29,Heb 13:18,Heb 13:20,Heb 13:23,Jas 2:1,Jas 2:21,Jas 3:6,1 Pe 1:3,1 Pe 2:24,1 Pe 4:17,2 Pe 1:1,2 Pe 1:2,2 Pe 1:8,2 Pe 1:11,2 Pe 1:14,2 Pe 1:16,2 Pe 3:15,2 Pe 3:15,2 Pe 3:18,1 Jn 1:1,1 Jn 1:1,1 Jn 1:3,1 Jn 1:4,1 Jn 1:9,1 Jn 2:2,1 Jn 2:19,1 Jn 2:19,1 Jn 2:19,1 Jn 2:19,1 Jn 2:19,1 Jn 3:16,1 Jn 3:19,1 Jn 3:20,1 Jn 3:20,1 Jn 3:21,1 Jn 4:6,1 Jn 4:6,1 Jn 4:10,1 Jn 4:17,1 Jn 5:4,1 Jn 5:14,1 Jn 5:15,2 Jn 2,2 Jn 3,2 Jn 12,3 Jn 12,Jud 3,Jud 4,Jud 4,Jud 17,Jud 21,Jud 25,Jud 25,Re 1:5,Re 4:11,Re 5:10,Re 6:10,Re 7:3,Re 7:10,Re 7:12,Re 11:15,Re 12:10,Re 12:10,Re 12:10,Re 19:1,Re 19:5,Re 19:6
ἡμεῖς	ἐγώ	1p	—	nom	pl	pronoun	Mt 6:12,Mt 9:14,Mt 17:19,Mt 19:27,Mt 28:14,Mk 9:28,Mk 10:28,Mk 14:58,Lk 3:14,Lk 9:13,Lk 18:28,Lk 23:41,Lk 24:21,Jn 1:16,Jn 4:22,Jn 6:42,Jn 6:69,Jn 7:35,Jn 8:41,Jn 8:48,Jn 9:21,Jn 9:24,Jn 9:28,Jn 9:29,Jn 9:40,Jn 11:16,Jn 12:34,Jn 17:11,Jn 17:22,Jn 19:7,Jn 21:3,Ac 2:8,Ac 2:32,Ac 3:15,Ac 4:9,Ac 4:20,Ac 5:32,Ac 6:4,Ac 10:33,Ac 10:39,Ac 10:47,Ac 13:32,Ac 14:15,Ac 15:10,Ac 20:6,Ac 21:12,Ac 21:25,Ac 23:15,Ac 24:8,Ac 28:21,Ro 6:4,Ro 8:23,Ro 15:1,1 Co 1:23,1 Co 2:12,1 Co 2:16,1 Co 4:8,1 Co 4:10,1 Co 4:10,1 Co 4:10,1 Co 8:6,1 Co 8:6,1 Co 9:11,1 Co 9:11,1 Co 9:12,1 Co 9:25,1 Co 11:16,1 Co 12:13,1 Co 15:30,1 Co 15:52,2 Co 1:6,2 Co 3:18,2 Co 4:11,2 Co 4:13,2 Co 5:16,2 Co 5:21,2 Co 6:16,2 Co 9:4,2 Co 10:7,2 Co 10:13,2 Co 11:12,2 Co 11:21,2 Co 13:4,2 Co 13:6,2 Co 13:7,2 Co 13:7,2 Co 13:9,Ga 1:8,Ga 2:9,Ga 2:16,Ga 4:3,Ga 5:5,Eph 2:3,Php 3:3,Col 1:9,Col 1:28,1 Th 2:13,1 Th 3:6,1 Th 3:12,1 Th 4:15,1 Th 4:17,1 Th 5:8,Tt 3:3,Tt 3:5,Heb 2:3,Heb 3:6,Heb 10:39,Heb 12:1,Heb 12:25,2 Pe 1:18,1 Jn 1:4,1 Jn 3:14,1 Jn 3:16,1 Jn 4:6,1 Jn 4:10,1 Jn 4:11,1 Jn 4:14,1 Jn 4:16,1 Jn 4:17,1 Jn 4:19,3 Jn 8,3 Jn 12
Ἐμοὶ	ἐγώ	1p	—	dat	sg	pronoun	Ga 6:14,Eph 3:8,Php 1:21
μου	ἐγώ	1p	—	gen	sg	pronoun	Mt 2:6,Mt 2:15,Mt 3:11,Mt 3:17,Mt 4:19,Mt 7:21,Mt 7:24,Mt 7:26,Mt 8:6,Mt 8:8,Mt 8:8,Mt 8:9,Mt 8:21,Mt 9:18,Mt 10:22,Mt 10:32,Mt 10:33,Mt 10:37,Mt 10:37,Mt 10:38,Mt 10:38,Mt 11:10,Mt 11:27,Mt 11:29,Mt 11:30,Mt 11:30,Mt 12:18,Mt 12:18,Mt 12:18,Mt 12:18,Mt 12:44,Mt 12:48,Mt 12:48,Mt 12:49,Mt 12:49,Mt 12:50,Mt 12:50,Mt 13:30,Mt 13:35,Mt 15:13,Mt 15:22,Mt 16:17,Mt 16:18,Mt 16:23,Mt 16:24,Mt 17:5,Mt 17:15,Mt 18:5,Mt 18:10,Mt 18:19,Mt 18:21,Mt 18:35,Mt 19:29,Mt 20:21,Mt 20:23,Mt 20:23,Mt 20:23,Mt 21:13,Mt 21:37,Mt 22:4,Mt 22:4,Mt 22:44,Mt 22:44,Mt 24:5,Mt 24:9,Mt 24:35,Mt 24:48,Mt 25:27,Mt 25:34,Mt 25:40,Mt 26:12,Mt 26:18,Mt 26:18,Mt 26:26,Mt 26:28,Mt 26:29,Mt 26:38,Mt 26:39,Mt 26:42,Mt 26:53,Mt 27:46,Mt 27:46,Mt 28:10,Mk 1:2,Mk 1:7,Mk 1:7,Mk 1:11,Mk 1:17,Mk 3:33,Mk 3:33,Mk 3:34,Mk 3:34,Mk 3:35,Mk 5:23,Mk 5:30,Mk 5:31,Mk 6:23,Mk 7:14,Mk 8:33,Mk 8:34,Mk 9:7,Mk 9:17,Mk 9:24,Mk 9:37,Mk 9:39,Mk 10:20,Mk 10:40,Mk 11:17,Mk 12:6,Mk 12:36,Mk 12:36,Mk 13:6,Mk 13:13,Mk 13:31,Mk 14:8,Mk 14:14,Mk 14:14,Mk 14:22,Mk 14:24,Mk 14:34,Mk 15:34,Mk 15:34,Mk 16:17,Lk 1:18,Lk 1:20,Lk 1:25,Lk 1:43,Lk 1:44,Lk 1:44,Lk 1:46,Lk 1:47,Lk 1:47,Lk 2:30,Lk 2:49,Lk 3:16,Lk 3:22,Lk 6:47,Lk 7:6,Lk 7:7,Lk 7:8,Lk 7:27,Lk 7:44,Lk 7:45,Lk 7:46,Lk 7:46,Lk 8:21,Lk 8:21,Lk 8:45,Lk 9:23,Lk 9:35,Lk 9:38,Lk 9:48,Lk 9:59,Lk 9:61,Lk 10:22,Lk 10:29,Lk 10:40,Lk 11:6,Lk 11:7,Lk 11:24,Lk 12:4,Lk 12:13,Lk 12:17,Lk 12:18,Lk 12:18,Lk 12:19,Lk 12:45,Lk 14:23,Lk 14:24,Lk 14:26,Lk 14:27,Lk 14:27,Lk 14:33,Lk 15:6,Lk 15:17,Lk 15:18,Lk 15:24,Lk 15:29,Lk 16:3,Lk 16:5,Lk 16:24,Lk 16:27,Lk 18:3,Lk 19:8,Lk 19:23,Lk 19:27,Lk 19:27,Lk 19:46,Lk 20:13,Lk 20:42,Lk 20:42,Lk 21:8,Lk 21:12,Lk 21:17,Lk 21:33,Lk 22:11,Lk 22:19,Lk 22:20,Lk 22:28,Lk 22:29,Lk 22:30,Lk 22:30,Lk 22:42,Lk 22:53,Lk 23:42,Lk 23:46,Lk 24:39,Lk 24:39,Lk 24:44,Lk 24:49,Jn 1:15,Jn 1:15,Jn 1:15,Jn 1:27,Jn 1:30,Jn 1:30,Jn 1:30,Jn 2:4,Jn 2:16,Jn 4:49,Jn 5:17,Jn 5:24,Jn 5:31,Jn 5:43,Jn 6:32,Jn 6:40,Jn 6:54,Jn 6:54,Jn 6:55,Jn 6:55,Jn 6:56,Jn 6:56,Jn 8:14,Jn 8:19,Jn 8:19,Jn 8:49,Jn 8:50,Jn 8:52,Jn 8:54,Jn 8:54,Jn 9:11,Jn 9:15,Jn 9:30,Jn 10:15,Jn 10:16,Jn 10:17,Jn 10:18,Jn 10:25,Jn 10:27,Jn 10:28,Jn 10:29,Jn 10:37,Jn 11:21,Jn 11:32,Jn 11:41,Jn 11:42,Jn 12:7,Jn 12:27,Jn 12:47,Jn 12:48,Jn 13:6,Jn 13:8,Jn 13:9,Jn 13:18,Jn 13:37,Jn 14:2,Jn 14:7,Jn 14:13,Jn 14:14,Jn 14:20,Jn 14:21,Jn 14:21,Jn 14:23,Jn 14:23,Jn 14:24,Jn 14:26,Jn 15:1,Jn 15:7,Jn 15:8,Jn 15:10,Jn 15:10,Jn 15:10,Jn 15:15,Jn 15:16,Jn 15:20,Jn 15:21,Jn 15:23,Jn 15:24,Jn 16:23,Jn 16:24,Jn 16:26,Jn 18:37,Jn 19:24,Jn 19:24,Jn 20:13,Jn 20:17,Jn 20:17,Jn 20:17,Jn 20:17,Jn 20:25,Jn 20:25,Jn 20:27,Jn 20:27,Jn 20:28,Jn 20:28,Jn 21:15,Jn 21:16,Jn 21:17,Ac 1:4,Ac 1:8,Ac 2:14,Ac 2:17,Ac 2:18,Ac 2:18,Ac 2:18,Ac 2:25,Ac 2:26,Ac 2:26,Ac 2:26,Ac 2:27,Ac 2:34,Ac 2:34,Ac 7:34,Ac 7:49,Ac 7:49,Ac 7:50,Ac 7:59,Ac 9:15,Ac 9:16,Ac 10:30,Ac 10:30,Ac 11:8,Ac 13:22,Ac 13:22,Ac 13:33,Ac 15:7,Ac 15:13,Ac 15:17,Ac 16:15,Ac 20:24,Ac 20:25,Ac 20:29,Ac 20:34,Ac 21:13,Ac 22:1,Ac 22:17,Ac 24:13,Ac 24:17,Ac 24:20,Ac 25:11,Ac 25:15,Ac 26:3,Ac 26:4,Ac 26:4,Ac 26:29,Ac 28:19,Ro 1:8,Ro 1:9,Ro 1:10,Ro 2:16,Ro 7:4,Ro 7:18,Ro 7:23,Ro 7:23,Ro 7:23,Ro 9:1,Ro 9:2,Ro 9:3,Ro 9:3,Ro 9:17,Ro 9:17,Ro 9:25,Ro 9:25,Ro 9:26,Ro 10:21,Ro 11:3,Ro 11:13,Ro 11:14,Ro 15:14,Ro 15:31,Ro 16:3,Ro 16:4,Ro 16:5,Ro 16:7,Ro 16:7,Ro 16:8,Ro 16:9,Ro 16:11,Ro 16:21,Ro 16:21,Ro 16:23,Ro 16:25,1 Co 1:4,1 Co 1:11,1 Co 2:4,1 Co 2:4,1 Co 4:14,1 Co 4:16,1 Co 4:17,1 Co 4:17,1 Co 4:18,1 Co 8:13,1 Co 8:13,1 Co 9:1,1 Co 9:2,1 Co 9:15,1 Co 9:18,1 Co 9:27,1 Co 10:14,1 Co 10:29,1 Co 11:1,1 Co 11:2,1 Co 11:33,1 Co 13:3,1 Co 13:3,1 Co 14:14,1 Co 14:14,1 Co 14:19,1 Co 14:21,1 Co 14:39,1 Co 15:58,1 Co 16:24,2 Co 2:13,2 Co 2:13,2 Co 6:16,2 Co 11:1,2 Co 11:1,2 Co 11:9,2 Co 11:30,2 Co 12:9,2 Co 12:9,2 Co 12:21,2 Co 12:21,Ga 1:14,Ga 1:14,Ga 1:15,Ga 4:14,Ga 4:19,Ga 4:20,Ga 6:17,Eph 1:16,Eph 3:4,Eph 3:13,Eph 3:14,Eph 6:19,Php 1:3,Php 1:4,Php 1:7,Php 1:7,Php 1:8,Php 1:13,Php 1:14,Php 1:17,Php 1:20,Php 1:20,Php 2:2,Php 2:12,Php 2:12,Php 2:12,Php 2:25,Php 2:25,Php 3:1,Php 3:8,Php 3:17,Php 4:1,Php 4:1,Php 4:3,Php 4:14,Php 4:19,Col 1:24,Col 2:1,Col 4:10,Col 4:18,2 Ti 1:3,2 Ti 1:6,2 Ti 1:12,2 Ti 1:16,2 Ti 2:1,2 Ti 2:8,2 Ti 3:10,2 Ti 4:6,2 Ti 4:16,Phm 4,Phm 4,Phm 20,Phm 23,Phm 24,Heb 1:5,Heb 1:13,Heb 2:12,Heb 3:9,Heb 3:10,Heb 3:11,Heb 3:11,Heb 4:3,Heb 4:3,Heb 4:5,Heb 5:5,Heb 8:9,Heb 8:9,Heb 8:10,Heb 10:16,Heb 10:38,Heb 10:38,Heb 12:5,Jas 1:2,Jas 1:16,Jas 1:19,Jas 2:1,Jas 2:3,Jas 2:5,Jas 2:14,Jas 2:18,Jas 3:1,Jas 3:10,Jas 3:12,Jas 5:12,Jas 5:19,1 Pe 5:13,2 Pe 1:14,2 Pe 1:17,2 Pe 1:17,1 Jn 2:1,Re 1:10,Re 1:20,Re 2:3,Re 2:13,Re 2:13,Re 2:13,Re 2:13,Re 2:16,Re 2:26,Re 2:28,Re 3:2,Re 3:5,Re 3:8,Re 3:8,Re 3:10,Re 3:12,Re 3:12,Re 3:12,Re 3:12,Re 3:12,Re 3:16,Re 3:20,Re 3:21,Re 3:21,Re 7:14,Re 10:10,Re 10:10,Re 11:3,Re 18:4,Re 22:12,Re 22:16
με	ἐγώ	1p	—	acc	sg	pronoun	Mt 3:14,Mt 8:2,Mt 10:33,Mt 10:40,Mt 11:28,Mt 14:28,Mt 14:30,Mt 15:8,Mt 15:9,Mt 15:22,Mt 16:15,Mt 18:32,Mt 19:14,Mt 19:17,Mt 22:18,Mt 23:39,Mt 25:35,Mt 25:35,Mt 25:36,Mt 25:36,Mt 25:36,Mt 25:42,Mt 25:43,Mt 25:43,Mt 25:43,Mt 26:12,Mt 26:21,Mt 26:23,Mt 26:32,Mt 26:34,Mt 26:35,Mt 26:46,Mt 26:55,Mt 26:55,Mt 26:75,Mt 27:46,Mt 28:10,Mk 1:40,Mk 5:7,Mk 6:22,Mk 6:23,Mk 7:6,Mk 7:7,Mk 8:27,Mk 8:29,Mk 8:38,Mk 9:19,Mk 9:37,Mk 9:39,Mk 10:14,Mk 10:18,Mk 10:36,Mk 10:47,Mk 10:48,Mk 12:15,Mk 14:18,Mk 14:28,Mk 14:30,Mk 14:31,Mk 14:42,Mk 14:48,Mk 14:49,Mk 14:72,Mk 15:34,Lk 1:48,Lk 2:49,Lk 2:49,Lk 4:18,Lk 4:18,Lk 4:43,Lk 5:12,Lk 6:46,Lk 6:47,Lk 8:28,Lk 9:18,Lk 9:20,Lk 9:26,Lk 9:48,Lk 10:16,Lk 10:35,Lk 10:40,Lk 11:6,Lk 11:18,Lk 12:9,Lk 12:14,Lk 13:33,Lk 13:35,Lk 14:18,Lk 14:19,Lk 14:26,Lk 15:19,Lk 16:4,Lk 16:24,Lk 18:3,Lk 18:5,Lk 18:16,Lk 18:19,Lk 18:38,Lk 18:39,Lk 19:5,Lk 19:27,Lk 22:15,Lk 22:21,Lk 22:34,Lk 22:61,Lk 24:39,Jn 1:33,Jn 1:48,Jn 2:17,Jn 4:34,Jn 5:7,Jn 5:11,Jn 5:24,Jn 5:30,Jn 5:36,Jn 5:37,Jn 5:40,Jn 5:43,Jn 6:26,Jn 6:36,Jn 6:38,Jn 6:39,Jn 6:44,Jn 6:44,Jn 6:57,Jn 6:57,Jn 6:65,Jn 7:16,Jn 7:19,Jn 7:28,Jn 7:29,Jn 7:33,Jn 7:34,Jn 7:34,Jn 7:36,Jn 7:36,Jn 7:37,Jn 8:16,Jn 8:18,Jn 8:21,Jn 8:26,Jn 8:28,Jn 8:29,Jn 8:29,Jn 8:37,Jn 8:40,Jn 8:42,Jn 8:46,Jn 8:49,Jn 8:54,Jn 9:4,Jn 10:14,Jn 10:15,Jn 10:16,Jn 10:17,Jn 11:42,Jn 12:27,Jn 12:44,Jn 12:45,Jn 12:49,Jn 13:13,Jn 13:20,Jn 13:21,Jn 13:33,Jn 13:38,Jn 14:7,Jn 14:9,Jn 14:14,Jn 14:15,Jn 14:19,Jn 14:19,Jn 14:21,Jn 14:21,Jn 14:23,Jn 14:24,Jn 14:24,Jn 14:28,Jn 15:9,Jn 15:16,Jn 15:21,Jn 15:25,Jn 16:5,Jn 16:5,Jn 16:10,Jn 16:16,Jn 16:16,Jn 16:17,Jn 16:17,Jn 16:19,Jn 16:19,Jn 17:5,Jn 17:8,Jn 17:21,Jn 17:23,Jn 17:24,Jn 17:25,Jn 17:26,Jn 18:21,Jn 18:23,Jn 20:21,Jn 20:29,Jn 21:15,Jn 21:16,Jn 21:17,Jn 21:17,Ac 2:28,Ac 7:28,Ac 8:31,Ac 8:36,Ac 9:4,Ac 9:17,Ac 10:29,Ac 11:11,Ac 11:15,Ac 12:11,Ac 16:15,Ac 16:30,Ac 19:21,Ac 19:21,Ac 20:23,Ac 22:7,Ac 22:8,Ac 22:10,Ac 22:13,Ac 22:17,Ac 22:21,Ac 23:3,Ac 23:3,Ac 23:18,Ac 23:22,Ac 24:12,Ac 24:18,Ac 25:10,Ac 25:11,Ac 26:5,Ac 26:13,Ac 26:14,Ac 26:14,Ac 26:16,Ac 26:21,Ac 26:28,Ac 28:18,Ro 7:11,Ro 7:23,Ro 7:24,Ro 9:20,Ro 15:16,Ro 15:19,1 Co 1:17,1 Co 4:4,1 Co 16:6,1 Co 16:11,2 Co 2:2,2 Co 2:3,2 Co 2:13,2 Co 7:7,2 Co 11:16,2 Co 11:16,2 Co 11:32,2 Co 12:6,2 Co 12:7,2 Co 12:11,2 Co 12:21,Ga 1:15,Ga 2:20,Ga 4:12,Ga 4:14,Ga 4:18,Eph 6:20,Php 1:7,Php 2:30,Php 4:13,Col 4:4,1 Ti 1:12,1 Ti 1:12,2 Ti 1:15,2 Ti 1:16,2 Ti 1:17,2 Ti 3:11,2 Ti 4:9,2 Ti 4:10,2 Ti 4:16,2 Ti 4:17,2 Ti 4:18,Tt 3:12,Phm 17,Heb 8:11,Heb 11:32,Re 17:3,Re 21:10
