Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Reference
λέγει	λέγω	pres	actv	indicative	3p	—	—	sg	Mt 4:6,Mt 4:10,Mt 4:19,Mt 8:4,Mt 8:7,Mt 8:20,Mt 8:22,Mt 8:26,Mt 9:6,Mt 9:9,Mt 9:28,Mt 9:37,Mt 12:13,Mt 12:44,Mt 14:31,Mt 15:34,Mt 16:15,Mt 17:20,Mt 17:25,Mt 18:22,Mt 18:32,Mt 19:8,Mt 19:20,Mt 20:6,Mt 20:7,Mt 20:8,Mt 20:21,Mt 20:23,Mt 21:13,Mt 21:16,Mt 21:19,Mt 21:31,Mt 21:45,Mt 22:8,Mt 22:12,Mt 22:20,Mt 22:21,Mt 22:43,Mt 26:18,Mt 26:25,Mt 26:31,Mt 26:35,Mt 26:36,Mt 26:38,Mt 26:40,Mt 26:45,Mt 26:52,Mt 26:64,Mt 26:71,Mt 27:13,Mt 27:22,Mt 28:10,Mk 1:38,Mk 1:41,Mk 1:44,Mk 2:5,Mk 2:8,Mk 2:10,Mk 2:14,Mk 2:17,Mk 2:25,Mk 3:3,Mk 3:4,Mk 3:5,Mk 3:33,Mk 3:34,Mk 4:13,Mk 4:35,Mk 5:7,Mk 5:9,Mk 5:19,Mk 5:36,Mk 5:39,Mk 5:41,Mk 6:31,Mk 6:38,Mk 6:50,Mk 7:18,Mk 7:28,Mk 7:34,Mk 8:1,Mk 8:12,Mk 8:17,Mk 8:29,Mk 8:33,Mk 9:5,Mk 9:19,Mk 9:35,Mk 10:11,Mk 10:23,Mk 10:24,Mk 10:27,Mk 10:42,Mk 11:2,Mk 11:21,Mk 11:22,Mk 11:33,Mk 12:16,Mk 12:37,Mk 13:1,Mk 14:13,Mk 14:14,Mk 14:27,Mk 14:30,Mk 14:32,Mk 14:34,Mk 14:37,Mk 14:41,Mk 14:45,Mk 14:61,Mk 14:63,Mk 14:67,Mk 15:2,Mk 16:6,Lk 5:39,Lk 7:32,Lk 9:33,Lk 11:24,Lk 11:45,Lk 13:8,Lk 16:7,Lk 16:29,Lk 18:6,Lk 19:22,Lk 20:37,Lk 20:42,Lk 22:11,Lk 24:36,Jn 1:21,Jn 1:29,Jn 1:36,Jn 1:38,Jn 1:39,Jn 1:41,Jn 1:43,Jn 1:45,Jn 1:46,Jn 1:47,Jn 1:48,Jn 1:51,Jn 2:3,Jn 2:4,Jn 2:5,Jn 2:7,Jn 2:8,Jn 2:10,Jn 4:7,Jn 4:9,Jn 4:16,Jn 4:17,Jn 4:21,Jn 4:26,Jn 4:28,Jn 4:34,Jn 4:49,Jn 4:50,Jn 5:6,Jn 5:8,Jn 6:5,Jn 6:8,Jn 6:12,Jn 6:20,Jn 6:42,Jn 7:6,Jn 7:50,Jn 8:22,Jn 8:39,Jn 9:12,Jn 11:7,Jn 11:11,Jn 11:13,Jn 11:23,Jn 11:24,Jn 11:27,Jn 11:39,Jn 11:39,Jn 11:40,Jn 11:44,Jn 12:22,Jn 13:6,Jn 13:8,Jn 13:9,Jn 13:10,Jn 13:22,Jn 13:24,Jn 13:25,Jn 13:27,Jn 13:29,Jn 13:31,Jn 13:37,Jn 14:6,Jn 14:9,Jn 16:17,Jn 16:18,Jn 18:4,Jn 18:5,Jn 18:17,Jn 18:17,Jn 18:26,Jn 18:38,Jn 18:38,Jn 19:4,Jn 19:5,Jn 19:6,Jn 19:9,Jn 19:10,Jn 19:14,Jn 19:15,Jn 19:26,Jn 19:27,Jn 19:28,Jn 19:35,Jn 19:37,Jn 20:2,Jn 20:13,Jn 20:15,Jn 20:15,Jn 20:16,Jn 20:16,Jn 20:17,Jn 20:19,Jn 20:22,Jn 20:27,Jn 20:29,Jn 21:3,Jn 21:5,Jn 21:7,Jn 21:10,Jn 21:15,Jn 21:15,Jn 21:15,Jn 21:16,Jn 21:16,Jn 21:16,Jn 21:17,Jn 21:17,Jn 21:17,Jn 21:19,Jn 21:21,Jn 21:22,Ac 2:17,Ac 2:25,Ac 2:34,Ac 7:48,Ac 7:49,Ac 8:34,Ac 12:8,Ac 13:35,Ac 15:17,Ac 21:11,Ac 21:37,Ro 3:19,Ro 4:3,Ro 4:6,Ro 9:15,Ro 9:17,Ro 9:25,Ro 10:6,Ro 10:8,Ro 10:11,Ro 10:16,Ro 10:19,Ro 10:20,Ro 10:21,Ro 11:2,Ro 11:4,Ro 11:9,Ro 12:19,Ro 14:11,Ro 15:10,Ro 15:12,1 Co 1:12,1 Co 9:8,1 Co 9:10,1 Co 12:3,1 Co 14:21,1 Co 14:34,2 Co 6:2,2 Co 6:17,2 Co 6:18,Ga 3:16,Ga 4:30,Eph 4:8,Eph 5:14,1 Ti 4:1,1 Ti 5:18,Heb 1:6,Heb 1:7,Heb 3:7,Heb 5:6,Heb 8:8,Heb 8:8,Heb 8:9,Heb 8:10,Heb 10:5,Heb 10:16,Jas 4:5,Jas 4:6,Re 1:8,Re 2:1,Re 2:7,Re 2:8,Re 2:11,Re 2:12,Re 2:17,Re 2:18,Re 2:29,Re 3:1,Re 3:6,Re 3:7,Re 3:13,Re 3:14,Re 3:22,Re 5:5,Re 10:9,Re 14:13,Re 17:15,Re 18:7,Re 19:9,Re 19:9,Re 19:10,Re 21:5,Re 22:9,Re 22:10
λεγόντων	λέγω	pres	actv	participle	—	mas	gen	pl	Lk 2:13,Lk 21:5,Re 2:9,Re 3:9,Re 19:1,Re 19:6
λεγομένη	λέγω	pres	pass	participle	—	fem	nom	sg	Lk 22:1,Heb 9:3
λέγουσα	λέγω	pres	actv	participle	—	fem	nom	sg	Mt 3:17,Mt 13:14,Mt 15:22,Mt 15:25,Mt 17:5,Mt 21:10,Mt 26:69,Mt 27:19,Mk 6:25,Lk 1:24,Lk 9:35,Lk 15:9,Lk 18:3,Jn 11:32,Jn 19:24,Ac 16:15,Ac 16:17,Jas 2:23,Re 2:20,Re 16:17,Re 19:5
Ἔλεγον	λέγω	impft	actv	indicative	3p	—	—	pl	Jn 7:25,Jn 8:25
λέγουσίν	λέγω	pres	actv	indicative	3p	—	—	pl	Re 10:11
Λέγω	λέγω	pres	actv	indicative	1p	—	—	sg	Mt 5:20,Mt 8:11,Lk 12:4,Lk 12:8,Ro 11:1,Ro 11:11,Ro 12:3,1 Co 7:8,Ga 4:1,Ga 5:16
λέγειν	λέγω	pres	actv	infinitive	—	—	—	—	Mt 3:9,Mt 4:17,Mt 11:7,Mt 13:54,Mt 26:22,Mk 9:26,Mk 10:28,Mk 10:32,Mk 10:47,Mk 13:5,Mk 14:19,Mk 14:65,Mk 14:69,Lk 3:8,Lk 4:21,Lk 6:42,Lk 7:24,Lk 7:49,Lk 9:21,Lk 11:27,Lk 11:29,Lk 12:1,Lk 13:26,Lk 20:9,Lk 23:30,Jn 16:12,Ac 10:28,Ac 17:18,Ac 17:21,Ac 23:30,Ac 24:10,Ac 26:1,Ro 3:8,Eph 5:12,Tt 2:8,Heb 5:11,Heb 8:13,Heb 9:5,Heb 13:6,Jas 4:15
λεγόμενος	λέγω	pres	pass	participle	—	mas	nom	sg	Mt 1:16,Mt 10:2,Mt 26:14,Mt 27:33,Mk 15:7,Lk 22:47,Jn 4:25,Jn 9:11,Jn 11:16,Jn 20:24,Jn 21:2,Col 4:11
Ἔλεγεν	λέγω	impft	actv	indicative	3p	—	—	sg	Lk 3:7,Lk 5:36,Lk 9:23,Lk 10:2,Lk 12:54,Lk 13:6,Lk 13:18,Lk 14:7,Lk 14:12,Lk 16:1,Lk 18:1,Jn 8:31
λεγούσης	λέγω	pres	actv	participle	—	fem	gen	sg	Ac 11:7,Ac 22:7,Re 1:11,Re 11:12,Re 14:13,Re 16:1,Re 21:3
λεγόμενα	λέγω	pres	pass	participle	—	neu	acc	pl	Lk 18:34
λέγοντι	λέγω	pres	actv	participle	—	mas	dat	sg	Mt 12:48
λεγόμενοι	λέγω	pres	pass	participle	—	mas	nom	pl	1 Co 8:5,Eph 2:11
ἔλεγον	λέγω	impft	actv	indicative	3p	—	—	pl	Mt 9:11,Mt 9:34,Mt 12:23,Mt 21:11,Mt 26:5,Mt 27:41,Mt 27:47,Mt 27:49,Mk 2:16,Mk 2:24,Mk 3:21,Mk 3:22,Mk 3:30,Mk 4:41,Mk 5:31,Mk 6:14,Mk 6:15,Mk 6:15,Mk 6:35,Mk 11:5,Mk 11:28,Mk 14:2,Mk 14:31,Mk 14:70,Mk 15:31,Mk 15:35,Mk 16:3,Lk 4:22,Lk 9:31,Lk 22:65,Lk 24:10,Jn 4:33,Jn 4:42,Jn 5:10,Jn 6:14,Jn 6:42,Jn 7:11,Jn 7:12,Jn 7:12,Jn 7:31,Jn 7:40,Jn 7:41,Jn 7:41,Jn 8:6,Jn 8:19,Jn 8:22,Jn 9:8,Jn 9:9,Jn 9:9,Jn 9:10,Jn 9:16,Jn 9:16,Jn 10:20,Jn 10:21,Jn 10:24,Jn 10:41,Jn 11:36,Jn 11:47,Jn 11:56,Jn 12:29,Jn 16:18,Jn 19:3,Jn 19:21,Jn 20:25,Ac 2:13,Ac 9:21,Ac 12:15,Ac 17:18,Ac 21:4,Ac 28:4,Ac 28:6,Jud 18,Re 5:14
λέγοντά	λέγω	pres	actv	participle	—	mas	acc	sg	Ac 22:18
λέγεις	λέγω	pres	actv	indicative	2p	—	—	sg	Mt 26:70,Mt 27:11,Mk 5:31,Mk 10:18,Mk 14:68,Mk 15:2,Lk 12:41,Lk 18:19,Lk 20:21,Lk 22:60,Lk 23:3,Jn 1:22,Jn 8:5,Jn 8:33,Jn 8:52,Jn 9:17,Jn 12:34,Jn 14:9,Jn 16:29,Jn 18:34,Jn 18:37,1 Co 14:16,Re 3:17
λέγωσιν	λέγω	pres	actv	subjunctive	3p	—	—	pl	Mk 7:36,Mk 8:30,1 Th 5:3
λεγομένης	λέγω	pres	pass	participle	—	fem	gen	sg	Ac 6:9,Eph 2:11
λέγον	λέγω	pres	actv	participle	—	neu	nom	sg	Ac 20:23
λέγουσιν	λέγω	pres	actv	participle	—	mas	dat	pl	Mt 11:17
λέγουσαν	λέγω	pres	actv	participle	—	fem	acc	sg	Ac 9:4,Ac 26:14,Re 6:6,Re 10:4,Re 10:8,Re 12:10,Re 18:4
ἐλέγετε	λέγω	impft	actv	indicative	2p	—	—	pl	Lk 17:6
λεγόμενον	λέγω	pres	pass	participle	—	masculine, neuter	acc	sg	2 Th 2:4
λέγουσαι	λέγω	pres	actv	participle	—	fem	nom	pl	Mt 25:9,Mt 25:11,Lk 24:23,Jn 11:3
Λέγει	λέγω	pres	actv	indicative	3p	—	—	sg	Mt 19:18,Mt 21:42,Jn 3:4,Jn 4:11,Jn 4:15,Jn 4:19,Jn 4:25,Jn 12:4,Jn 13:36,Jn 14:5,Jn 14:8,Jn 14:22,Jn 21:12,Re 22:20
λέγεσθαι	λέγω	pres	pass	infinitive	—	—	—	—	Lk 9:7,Heb 3:15,Heb 7:11,Heb 11:24
λέγω	λέγω	pres	actv	indicative	1p	—	—	sg	Mt 3:9,Mt 5:18,Mt 5:22,Mt 5:26,Mt 5:28,Mt 5:32,Mt 5:34,Mt 5:39,Mt 5:44,Mt 6:2,Mt 6:5,Mt 6:16,Mt 6:25,Mt 6:29,Mt 8:9,Mt 8:10,Mt 10:15,Mt 10:23,Mt 10:27,Mt 10:42,Mt 11:9,Mt 11:11,Mt 11:22,Mt 11:24,Mt 12:6,Mt 12:31,Mt 12:36,Mt 13:17,Mt 16:18,Mt 16:28,Mt 17:12,Mt 17:20,Mt 18:3,Mt 18:10,Mt 18:13,Mt 18:18,Mt 18:19,Mt 18:22,Mt 19:9,Mt 19:23,Mt 19:24,Mt 19:28,Mt 21:21,Mt 21:27,Mt 21:31,Mt 21:43,Mt 23:36,Mt 23:39,Mt 24:2,Mt 24:34,Mt 24:47,Mt 25:12,Mt 25:40,Mt 25:45,Mt 26:13,Mt 26:21,Mt 26:29,Mt 26:34,Mt 26:64,Mk 2:11,Mk 3:28,Mk 5:41,Mk 8:12,Mk 9:1,Mk 9:13,Mk 9:41,Mk 10:15,Mk 10:29,Mk 11:23,Mk 11:24,Mk 11:33,Mk 12:43,Mk 13:30,Mk 13:37,Mk 13:37,Mk 14:9,Mk 14:18,Mk 14:25,Mk 14:30,Lk 3:8,Lk 4:24,Lk 4:25,Lk 5:24,Lk 6:27,Lk 6:46,Lk 7:8,Lk 7:9,Lk 7:14,Lk 7:26,Lk 7:28,Lk 7:47,Lk 9:27,Lk 10:12,Lk 10:24,Lk 11:8,Lk 11:9,Lk 11:51,Lk 12:5,Lk 12:22,Lk 12:27,Lk 12:37,Lk 12:44,Lk 12:51,Lk 12:59,Lk 13:3,Lk 13:5,Lk 13:24,Lk 13:35,Lk 14:24,Lk 15:7,Lk 15:10,Lk 16:9,Lk 17:34,Lk 18:8,Lk 18:14,Lk 18:17,Lk 18:29,Lk 19:26,Lk 19:40,Lk 20:8,Lk 21:3,Lk 21:32,Lk 22:16,Lk 22:18,Lk 22:34,Lk 22:37,Lk 23:43,Jn 1:51,Jn 3:3,Jn 3:5,Jn 3:11,Jn 4:35,Jn 5:19,Jn 5:24,Jn 5:25,Jn 5:34,Jn 6:26,Jn 6:32,Jn 6:47,Jn 6:53,Jn 8:34,Jn 8:45,Jn 8:46,Jn 8:51,Jn 8:58,Jn 10:1,Jn 10:7,Jn 12:24,Jn 13:16,Jn 13:18,Jn 13:19,Jn 13:20,Jn 13:21,Jn 13:33,Jn 13:38,Jn 14:10,Jn 14:12,Jn 15:15,Jn 16:7,Jn 16:20,Jn 16:23,Jn 16:26,Jn 21:18,Ac 5:38,Ro 3:5,Ro 6:19,Ro 9:1,Ro 10:18,Ro 10:19,Ro 11:13,Ro 15:8,1 Co 1:12,1 Co 6:5,1 Co 7:6,1 Co 7:12,1 Co 7:35,1 Co 10:15,1 Co 10:29,1 Co 15:51,2 Co 6:13,2 Co 7:3,2 Co 8:8,2 Co 11:16,2 Co 11:21,2 Co 11:21,Ga 1:9,Ga 3:15,Ga 3:17,Ga 5:2,Eph 4:17,Eph 5:32,Php 3:18,Php 4:11,Col 2:4,1 Ti 2:7,2 Ti 2:7,Phm 21,1 Jn 5:16,Re 2:24
λέγοντος	λέγω	pres	actv	participle	—	neuter, masculine	gen	sg	Re 16:7
λεγομένου	λέγω	pres	pass	participle	—	mas	gen	sg	Mt 26:3
λέγοντος	λέγω	pres	actv	participle	—	neu	gen	sg	Re 6:1,Re 6:3,Re 6:5,Re 6:7
λέγοντα	λέγω	pres	actv	participle	—	mas	acc	sg	Lk 23:2,Ac 7:59,Re 9:14
λέγοντα	λέγω	pres	actv	participle	—	neu	nom	pl	Lk 4:41
