Result	Lemma	Tense	Voice	Mood	Person	Gender	Case	Number	Part of Speech	Reference
ὂν	εἰμί	pres	actv	participle	—	neu	nom	sg	verb	Mk 4:31
ὄντος	εἰμί	pres	actv	participle	—	mas	gen	sg	verb	Mk 8:1,Mk 14:3,Mk 14:66,Lk 14:32,Lk 22:53,Jn 5:13,Ac 14:13,Ac 18:12,Ac 21:8,Ac 27:2,Ac 27:9,Ro 5:13,1 Co 8:10,Eph 2:20
εἴη	εἰμί	pres	actv	optative	3p	—	—	sg	verb	Lk 1:29,Lk 3:15,Lk 8:9,Lk 9:46,Lk 15:26,Lk 18:36,Lk 22:23,Jn 13:24,Ac 8:20,Ac 10:17,Ac 21:33,Ac 20:16
οὖσαν	εἰμί	pres	actv	participle	—	fem	acc	sg	verb	Lk 13:16,Ac 13:1,Ac 17:16,Ac 19:35,Ro 16:1,Eph 4:18
ἔσομαι	εἰμί	futr	mid	indicative	1p	—	—	sg	verb	Mt 17:17,Mk 9:19,Lk 9:41,1 Co 14:11,2 Co 6:16,2 Co 6:18,2 Co 12:6,Heb 1:5,Heb 2:13,Heb 8:10,Re 21:7,Jn 8:55,Heb 8:12
ἔστω	εἰμί	pres	actv	imperative	3p	—	—	sg	verb	Mt 5:37,Mt 18:17,Ac 1:20,Ga 1:8,Ga 1:9,Jas 1:19,1 Pe 3:3,Ac 2:14,Ac 4:10,Ac 13:38,Ac 28:28
ἐσόμεθα	εἰμί	futr	mid	indicative	1p	—	—	pl	verb	Ro 6:5,1 Th 4:17,1 Jn 3:2,1 Jn 3:2
οὔσῃ	εἰμί	pres	actv	participle	—	fem	dat	sg	verb	Ac 24:24,1 Co 1:2,2 Co 1:1,Lk 2:5
ᾖς	εἰμί	pres	actv	subjunctive	2p	—	—	sg	verb	Ro 2:25
ὄντι	εἰμί	pres	actv	participle	—	mas	dat	sg	verb	Ac 7:2,Ro 4:10,Ro 7:23,Ro 12:3
ἔστωσαν	εἰμί	pres	actv	imperative	3p	—	—	pl	verb	1 Ti 3:12
ὢν	εἰμί	pres	actv	participle	—	mas	nom	sg	verb	Mt 1:19,Mt 12:30,Lk 3:23,Lk 11:23,Lk 24:6,Lk 24:44,Jn 1:18,Jn 3:31,Jn 4:9,Jn 6:46,Jn 7:50,Jn 8:47,Jn 9:25,Jn 10:12,Jn 10:33,Jn 11:49,Jn 11:51,Jn 12:17,Jn 18:26,Jn 18:37,Jn 19:38,Ac 18:24,Ro 9:5,Ro 11:17,1 Co 9:19,1 Co 9:20,1 Co 9:21,2 Co 11:31,Eph 2:4,2 Th 2:5,Tt 3:11,Phm 9,Heb 1:3,Heb 5:8,Re 1:4,Re 1:8,Re 4:8,Re 11:17,Re 16:5
ἐσμεν	εἰμί	pres	actv	indicative	1p	—	—	pl	verb	Mk 5:9,Lk 17:10,Jn 8:33,Jn 9:40,Jn 10:30,Ac 2:32,Ac 3:15,Ac 5:32,Ac 14:15,Ac 16:28,Ro 12:5,1 Co 3:9,1 Co 10:17,1 Co 10:22,2 Co 1:14,2 Co 1:24,2 Co 2:17,2 Co 3:5,2 Co 6:16,2 Co 10:11,Ga 3:25,Eph 2:10,Php 3:3,Heb 3:6,Heb 4:2,1 Jn 2:5,1 Jn 3:2,1 Jn 4:6,1 Jn 4:17,1 Jn 5:19,Ac 23:15
εἶναί	εἰμί	pres	actv	infinitive	—	—	—	—	verb	Lk 2:49,Lk 14:26,Lk 14:27,Lk 14:33,Ac 5:36,Ac 8:9,Ac 13:47,Ro 15:16,Ga 2:6,Ga 6:3
εἶ	εἰμί	pres	actv	indicative	2p	—	—	sg	verb	Mt 2:6,Mt 4:3,Mt 4:6,Mt 5:25,Mt 11:3,Mt 14:28,Mt 14:33,Mt 16:16,Mt 16:17,Mt 16:18,Mt 16:23,Mt 22:16,Mt 25:24,Mt 26:63,Mt 26:73,Mt 27:11,Mt 27:40,Mk 1:11,Mk 1:24,Mk 3:11,Mk 8:29,Mk 12:14,Mk 12:34,Mk 14:61,Mk 14:70,Mk 14:70,Mk 15:2,Lk 3:22,Lk 4:3,Lk 4:9,Lk 4:34,Lk 4:41,Lk 7:19,Lk 7:20,Lk 15:31,Lk 19:21,Lk 22:58,Lk 22:67,Lk 22:70,Lk 23:3,Lk 23:37,Lk 23:39,Lk 23:40,Jn 1:19,Jn 1:21,Jn 1:21,Jn 1:22,Jn 1:25,Jn 1:42,Jn 1:49,Jn 1:49,Jn 3:10,Jn 4:12,Jn 4:19,Jn 6:69,Jn 7:52,Jn 8:25,Jn 8:48,Jn 8:53,Jn 9:28,Jn 10:24,Jn 11:27,Jn 18:17,Jn 18:25,Jn 18:33,Jn 18:37,Jn 19:9,Jn 19:12,Jn 21:12,Ac 9:5,Ac 13:33,Ac 21:38,Ac 22:8,Ac 22:27,Ac 26:15,Ro 2:1,Ro 9:20,Ro 14:4,Ga 4:7,Heb 1:5,Heb 1:12,Heb 5:5,Jas 4:11,Jas 4:12,Re 2:9,Re 3:1,Re 3:15,Re 3:16,Re 3:17,Re 4:11,Re 5:9,Re 16:5
οὖσα	εἰμί	pres	actv	participle	—	fem	nom	sg	verb	Mk 5:25,Lk 8:43,Jn 8:9,Ac 5:17,Ac 9:39,1 Co 8:7
εἰμί	εἰμί	pres	actv	indicative	1p	—	—	sg	verb	Lk 22:58,Jn 1:21,Jn 7:28,Jn 8:16,Jn 8:23,Jn 8:58,Jn 18:17,Jn 18:25,Ro 1:14,Ro 11:1
ὄντα	εἰμί	pres	actv	participle	—	neu	acc	pl	verb	Ac 7:12,Ro 4:17,Ro 4:17,1 Co 1:28,1 Co 1:28
Ἔστιν	εἰμί	pres	actv	indicative	3p	—	—	sg	verb	Lk 8:11,Jn 5:2,Jn 21:25,1 Ti 6:6,Heb 11:1
ἐσόμενον	εἰμί	futr	mid	participle	—	neu	acc	sg	verb	Lk 22:49
ἔσεσθε	εἰμί	futr	mid	indicative	2p	—	—	pl	verb	Mt 5:48,Mt 6:5,Mt 10:22,Mt 24:9,Mk 13:13,Lk 6:35,Lk 21:17,Jn 8:36,1 Co 14:9,1 Pe 1:16
Ἦν	εἰμί	impft	actv	indicative	3p	—	—	sg	verb	Mt 27:61,Mk 5:11,Mk 14:1,Lk 13:10,Lk 15:25,Lk 21:37,Jn 1:9,Jn 1:40,Jn 3:1,Jn 3:23,Jn 5:9,Jn 11:1,Jn 18:25,Ac 9:10,Ac 12:20,Jn 7:2,Jn 11:55
